field	filter	public_value	code	swedish	english	synonyms	comments	ices_biology	ices_physical_and_chemical	source
platform_code		77TA	77TA	Tändaren (ICES)	Tändaren (ICES)					translate_SHIPC
platform_code		77TH	77TH	Thetis (ICES)	Thetis (ICES)					translate_SHIPC
platform_code		77TI	77TI	Triad (ICES)	Triad (ICES)					translate_SHIPC
platform_code		77TP	77TP	Transpaper (ICES)	Transpaper (ICES)	TP				translate_SHIPC
platform_code		77TR	77TR	Tor (ICES)	Tor (ICES)					translate_SHIPC
platform_code		77TV	77TV	TV252 (ICES)	TV252 (ICES)					translate_SHIPC
platform_code		77UA	77UA	Ulla Rinman (ICES)	Ulla Rinman (ICES)					translate_SHIPC
platform_code		77UR	77UR	Aurelia (ICES)	Aurelia (ICES)					translate_SHIPC
platform_code		77UT	77UT	Norrbylabb (ICES)	Norrbylabb (ICES)	76<or>7776				translate_SHIPC
platform_code		77V2	77V2	TV285 (ICES)	TV285 (ICES)					translate_SHIPC
platform_code		77V3	77V3	TV287 (ICES)	TV287 (ICES)					translate_SHIPC
platform_code		77VA	77VA	Vidar (ICES)	Vidar (ICES)					translate_SHIPC
platform_code		77VB	77VB	VARBERG (ICES)	VARBERG (ICES)					translate_SHIPC
platform_code		77VD	77VD	VADEROBOD (ICES)	VADEROBOD (ICES)					translate_SHIPC
platform_code		77VE	77VE	VEGA (ICES)	VEGA (ICES)					translate_SHIPC
platform_code		77VI	77VI	VINGA (ICES)	VINGA (ICES)					translate_SHIPC
platform_code		77VS	77VS	Oscar von Sydow (ICES)	Oscar von Sydow (ICES)	25				translate_SHIPC
platform_code		77VV	77VV	VI (ICES)	VI (ICES)					translate_SHIPC
platform_code		77WX	77WX	Electra af Asko (ICES)	Electra af Asko (ICES)					translate_SHIPC
platform_code		77XV	77XV	R/V Botnica (ICES)	R/V Botnica (ICES)	XV				translate_SHIPC
platform_code		77SE	77SE	SVEA (ICES)	SVEA (ICES)	7710				translate_SHIPC
platform_code		77YM	77YM	Ymer (ICES)	Ymer (ICES)	YM				translate_SHIPC
platform_code						77HO<or>77HC<or>HE<or>HC<or>A<or>99SC<or>99DV				translate_SHIPC
