field	filter	public_value	code	swedish	english	synonyms	comments	source
sample_project_code		PROJ Marin Modellering Skåne Blekinge	MSB	PROJ Marin Modellering Skåne Blekinge	Marine_Modeling_Skåne_Blekinge	MMSB<or>Marin_Modellering_Skåne_Blekinge<or>Marin Modellering Skåne Blekinge		translate_PROJ
sample_project_code		PROJ Marin Modellering Stockholm Södermanland	MSS	PROJ Marin Modellering Stockholm Södermanland	Marine_Modeling_Stockholm_Södermanland	MMSS_Södermanland<or>MMSS<or>MMSS_Stockholm<or>Marin_Modellering_Stockholm_Södermanland<or>Marin Modellering Stockholm Södermanland		translate_PROJ
sample_project_code		PROJ Marin Naturvärdes kartering	MNK	PROJ Marin Naturvärdes kartering	Marine mapping	Kartering av naturvärden i Bottniska viken<or>PROJ Marin naturvärdes kartering		translate_PROJ
sample_project_code		PROJ MARMONI	MAR	PROJ MARMONI	MARMONI	MARMONI		translate_PROJ
sample_project_code		PROJ Norrlands grunda vikar	NGV	PROJ Norrlands grunda vikar	Norrland shallow bays	Lst Norrbotten<or>PROJ_Norrlands_grunda_vikar		translate_PROJ
sample_project_code		PROJ Nya varvet	NYV	PROJ Nya varvet	Bridge sampling, Nya Varvet  Göteborg	PROVT.NYVARV<or>Nya Varvet<or>PROJ_Nya_varvet		translate_PROJ
sample_project_code		PROJ Ospecificerat	XXX	PROJ Ospecificerat	Unspecified project	xxx		translate_PROJ
sample_project_code		PROJ Operativ miljöövervakning av övergödning vid Gävleborgskusten	XOM	PROJ Operativ miljöövervakning av övergödning vid Gävleborgskusten	Operational environmental monitoring of eutrophication on the coast of Gävleborg			translate_PROJ
sample_project_code		PROJ Fläckighetsexperiment PEX	PEX	PROJ Fläckighetsexperiment PEX	Patchiness Experiment	PATCH. EXPMNT.<or>PROJ_Patchiness_experiment_PEX		translate_PROJ
sample_project_code		PROJ Fläckighetsexperiment före PEX	PPX	PROJ Fläckighetsexperiment före PEX	Pre-Patchiness Experiment	PRE. PATCH. EXPMNT.<or>PROJ_Patchiness_experiment_pre_PEX		translate_PROJ
sample_project_code		PROJ Råneå och Kalix dykinventering	RKA	PROJ Råneå och Kalix dykinventering	Dive transect inventories in Råneå and Kalix			translate_PROJ
sample_project_code		PROJ Sambah	SAM	PROJ Sambah	Sambah			translate_PROJ
sample_project_code		PROJ Hydrografi, närsalter och pelagial biologi  i Skagerrak	SHN	PROJ Hydrografi, närsalter och pelagial biologi  i Skagerrak	PROJ Hydrography, nutrients and pelagic biology in the Skagerrak			translate_PROJ
sample_project_code		PROJ SEAmBOTH	SMB	PROJ SEAmBOTH	SEAmBOTH			translate_PROJ
sample_project_code		PROJ Skagerrak närsaltstransport	SNT	PROJ Skagerrak närsaltstransport	Skagerrak nutrient transport	SKAGER. NÄRS.TRANSP.<or>PROJ_Skagerrak_närsaltstransport		translate_PROJ
sample_project_code		PROJ SKAGEX	SKX	PROJ SKAGEX	SKAGEX	PROJ_SKAGEX		translate_PROJ
sample_project_code		PROJ Slussen	PSL	PROJ Slussen	Slussen	SLUSSEN<or>PROJ_Slussen		translate_PROJ
sample_project_code		PROJ Miljötillstånd	SOE	PROJ Miljötillstånd	PROJ State Of Environment			translate_PROJ
sample_project_code		PROJ Svenska Offentliga Data	OFF	PROJ Svenska Offentliga Data	Swedish Public Data			translate_PROJ
