field	filter	public_value	code	swedish	english	synonyms	comments	edmo	source
laboratory		Länsstyrelsen Halland	NLST	Länsstyrelsen Halland	County Administrative Board of Halland	Länsstyrelsen i Hallands län<or>Länsstyrelsen i Halland<or>länsstyrelsen i Halland<or>Nlst<or>Hallands kustkontroll<or>nlst<or>Länsstyrelsen i halland<or>N lst<or>n lst		627.0	translate_LABO
laboratory		Länsstyrelsen Kalmar	HLST	Länsstyrelsen Kalmar	County Administrative Board of Kalmar	Länsstyrelsen i Kalmar län<or>Länsstyrelsen H län<or>Länsstyrelsen i Kalmar<or>Länsstyrelsen Kalmar län		1853.0	translate_LABO
laboratory		Länsstyrelsen Norrbotten	BDLST	Länsstyrelsen Norrbotten	County Administrative Board of Norrbotten	Länsstyrelsen i Norrbottens län<or>BDLAN<or>Länsstyrelsen i Norrbotten<or>LST Norrbotten		3464.0	translate_LABO
laboratory		Länsstyrelsen ospecificerad	LST	Länsstyrelsen ospecificerad	County Administrative Board unspecified				translate_LABO
laboratory		Länsstyrelsen Skåne	MLST	Länsstyrelsen Skåne	County Administrative Board of Skåne	Länsstyrelsen i Skåne<or>Lst Skåne<or>Lst  Skåne<or>Länsstyrelsen i Skåne län<or>Lst I Skåne län<or>Länsstyrelsen skåne		626.0	translate_LABO
laboratory		Länsstyrelsen Stockholm	ABLST	Länsstyrelsen Stockholm	County Administrative Board of Stockholm	Länsstyrelsen i Stockholms län<or>Länsstyrelsen i Stockholm<or>Länstyrelsen i Stockholm<or>Stockholms län		3468.0	translate_LABO
laboratory		Länsstyrelsen Stockholm	BLST	Länsstyrelsen Stockholm	County Administrative Board of Stockholm			3468.0	translate_LABO
laboratory		Länsstyrelsen Södermanland	DLST	Länsstyrelsen Södermanland	County Administrative Board of Södermanland	Länsstyrelsen i Södermanlands län<or>Länsstyrelsen i Södermanland<or>Länsstyrelsen Södermanlands län		4776.0	translate_LABO
laboratory		Länsstyrelsen Uppsala	CLST	Länsstyrelsen Uppsala	County Administrative Board of Uppsala	Länsstyrelsen i Uppsala län<or>Länsstyrelsen i Uppsala<or>Länsstyrelsen Uppsala län<or>LST Uppsala län<or>LST Uppsala		3470.0	translate_LABO
laboratory		Länsstyrelsen Västerbotten	ACLST	Länsstyrelsen Västerbotten	County Administrative Board of Västerbotten	Länsstyrelsen i Västerbottens län<or>ACLAN<or>Länsstyrelsen i Västerbotten<or> LST Västerbotten<or>Lst Västerbotten		4860.0	translate_LABO
laboratory		Länsstyrelsen Västernorrland	YLST	Länsstyrelsen Västernorrland	County Administrative Board of Västernorrland	Länsstyrelsen i Västernorrlands län<or>Nedre Ångermanälvens SRK<or>Y-LAN<or>Länsstyrelsen i Västernorrland<or>LST Västernorrland<or>Lst Västernorrland<or>Ylst<or>ylst		3465.0	translate_LABO
laboratory		Länsstyrelsen Västra Götaland	OLST	Länsstyrelsen Västra Götaland	County Administrative Board of Västra Götaland	Länsstyrelsen i Västra Götalands län<or>Länsstyrelsen i Västra Götaland<or>Länstyrelsen Västra götaland<or>Länstyrelsen Västra Götland<or> Länsstyrelsen Göteborg och Bohuslän<or>Lst_O_Kampanj<or>Lst_O_Koster <or>Lst_O_RMÖ<or>LST_O<or>Koster nationalpark (Lst_O)<or>Koster nationalpark, Lst_O<or>Länstyrelsen Västra Götaland<or>Lst_O		4768.0	translate_LABO
laboratory		Länsstyrelsen Östergötland	ELST	Länsstyrelsen Östergötland	County Administrative Board of Östergotland	Länsstyrelsen i Östergötlands län<or>Länsstyrelsen i Östergötland län<or>Länsstyrelsen i Östergötland<or>Länstyrelsen Östergötland		3467.0	translate_LABO
laboratory		Marietorps naturskola	MTNS	Marietorps naturskola	Marietorps Environmental school				translate_LABO
